occupation,onet_soc_code,onet_soc_title,ai_exposure_index,mapping_confidence,index_source
Optometry Development Consultant,19-2099,"Physical Scientists, All Other",90.77,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Optometry Director,11-9121,Natural Sciences Managers,95.24,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Oral Surgery Resident,29-1022,Oral and Maxillofacial Surgeons,57.91,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Physicist,19-2012,Physicists,95.67,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Principal Optometrist,29-1041,Optometrists,75.61,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Production Chemist,19-2031,Chemists,75.54,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Project Engineer,17-2199,"Engineers, All Other",82.37,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Project Geologist,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",95.69,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Project and Construction Director,11-9021,Construction Managers,88.12,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Quality Assurance Specialist,13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",80.24,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Quality Control Analyst,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",62.91,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Quality Control Chemist,19-2031,Chemists,75.54,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Research & Development Chemist,19-2031,Chemists,75.54,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Research Analyst,13-1161,Market Research Analysts and Marketing Specialists,97.6,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Resource Geologist,19-2042,"Geoscientists, Except Hydrologists and Geographers",80.62,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Senior Applied Research Engineer,17-2199,"Engineers, All Other",82.37,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Senior Dentist,29-1021,"Dentists, General",59.28,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Senior Environmental Scientist,19-2041,"Environmental Scientists and Specialists, Including Health",87.77,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Senior Mine Geologist,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",95.69,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Senior Optometrist,29-1041,Optometrists,75.61,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Senior Quality Control Chemist,19-2031,Chemists,75.54,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Senior Radiochemist,19-2031,Chemists,75.54,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Senior Veterinarian,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Small Animal Veterinarian,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Structural Design Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Structural Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Veterinarian,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Veterinary Assistant,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,45.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Veterinary Director,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Veterinary Nurse,29-2056,Veterinary Technologists and Technicians,54.97,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Veterinary Officer,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Veterinary Practice Owner,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Water Resources Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
